phylum	class	order	family	genus	species	strain
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Gluconobacter	Gluconobacter frateurii	40
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Gluconobacter	Gluconobacter sp.	
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Gluconobacter	Gluconobacter asaii	
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Kozakia	Kozakia baliensis	YO-3
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Rhodopila	Rhodopseudomonas globiformis	7950, Pfennig 7950
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Roseococcus	Roseococcus thiosulfatophilus	RB3
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Roseococcus	Roseococcus suduntuyensis	SHET
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Rubritepida	Rubritepida flocculans	H-8
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Saccharibacter	Saccharibacter floricola	S-877
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Zavarzinia	Pseudomonas compransoris	Z-1155
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acidisphaera	Acidisphaera rubrifaciens	HS-AP3
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Roseomonas	Teichococcus ludipueritiae	170/96
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Muricoccus	Roseomonas rosea	173/96
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Roseomonas	Roseomonas mucosa	ES-21
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Roseomonas	Roseomonas lacus	TH-G33
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Roseomonas	Roseomonas aquatica	TR53
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Roseomonas	Roseomonas vinacea	CPCC 100056
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Roseomonas	Roseomonas sp.	ES2-7a2a
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Roseomonas	Roseomonas stagni	HS-69
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Roseomonas	Roseomonas aerilata	5420S-30
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Roseomonas	Roseomonas pecuniae	N75
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acidicaldus	Acidicaldus organivorus	Y008
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Granulibacter	Granulobacter bethesdensis	CGDNIH1
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acidisoma	Acidisoma tundrae	WM1
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acidisoma	Acidisoma sibiricum	TPB606
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Komagataeibacter	Acetobacter europaeus	21
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Komagataeibacter	Acetobacter europaeus	28
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Komagataeibacter	Acetobacter hansenii	
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Komagataeibacter	Acetobacter aceti subsp. xylinus	
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Komagataeibacter	Acetobacter aceti subsp. xylinus	B 4168
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Komagataeibacter	Acetobacter aceti subsp. xylinus	Blackley strain G2, BU 335
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Komagataeibacter	Acetobacter aceti subsp. xylinus	East Africa
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Komagataeibacter	Acetobacter oboediens	LTH 2460
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Komagataeibacter	Acetobacter intermedius	TF2
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Komagataeibacter	Gluconacetobacter swingsii	DST GL01
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Komagataeibacter	Gluconacetobacter rhaeticus	DST GL02
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Komagataeibacter	Acetobacter xylinus subsp. sucrofermentans	BPR 2001
Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma laidlawii	ZK-CU4
Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma laidlawii	PG 8
Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus fermentans	VR4
Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus intestini	ADV 255.99, AIP 283.01
Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium faecium	QUM 3679
Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium faecium	QUM 3680
Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium faecium	QUM 3681
Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Succiniclasticum	Succiniclasticum ruminis	SE10
Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Succiniclasticum	Succiniclasticum ruminis	B14
Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Succinispira	Succinispira mobilis	19gly1
Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium	Acidimicrobium ferrooxidans	ICP
Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ferrimicrobium	Ferrimicrobium acidiphilum	T23
Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Ferrimicrobium	Ferrimicrobium acidiphilum	T23
Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Ferrithrix	Ferrithrix thermotolerans	Y005
Actinobacteria	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter	Ilumatobacter fluminis	YM22-133
Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Thiobacillus ferrooxidans	F221
Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Thiobacillus ferrooxidans	N-Fe3
Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Thiobacillus ferrooxidans	NFe-4
Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Thiobacillus ferrooxidans	Tf18
Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferrivorans	SS3
Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Thiobacillus ferrooxidans	SP5/1
Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Thiobacillus thiooxidans	
Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Thiobacillus thiooxidans	GP5
Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Thiobacillus thiooxidans	B-S2
Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Thiobacillus thiooxidans	Tth04
Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Thiobacillus thiooxidans	3/TA
Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Thiobacillus caldus	KU
Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Thiobacillus caldus	C-SH12
Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Thiobacillus albertis	
Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferrivorans	NO-37
Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus sp.	HV2/2
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Acidobacterium capsulatum	161
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter	Edaphobacter modestus	Jbg-1
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter	Edaphobacter aggregans	Wbg-1
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus roseus	KBS 63
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus saanensis	SP1PR4
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella rosea	T4, TPO-1014, TPO1014
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella pectinivorans	TPB6011
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella aggregans	TPB6028
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella paludicola	OB1010
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Telmatobacter	Telmatobacter bradus	TPB6017
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Bryocella	Bryocella elongata	SN10
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidicapsa	Acidicapsa borealis	KA1
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidicapsa	Acidicapsa ligni	WH120
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinobaculum	Actinomyces suis	Soltys 50052
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinotignum	Actinobaculum schaalii	B 5329
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinotignum	Actinobaculum urinale	R9242
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces bovis	P2S
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces denticolens	Sh8/4303
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces israelii	NHI 1829
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces israelii	NIH 277, WVU 46
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces israelii	WVU 339
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces naeslundii	Bowden X600S-96, CDC X-600, CS 1752, WVU 447, X-600
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces naeslundii	NIH 279, WVU 45
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Actinomyces odontolyticus	1A.21, WVU 868
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces viscosus	NIH T-6, WVU 745
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces viscosus	Ny 334
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces gerencseriae	2-606-032, VPI 12594
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Buchananella	Buchananella hordeovulneris	UCD 81-332-9
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Actinomyces meyeri	PIP 2477B, VPI 8617
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Actinomyces georgiae	D145A-07, VPI D145A-07
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp.	WVU 386
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp.	8/46-47, WVU 307
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp.	WVU 1065
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Winkia	Actinomyces neuii subsp. anitratus	50/90
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Winkia	Actinomyces neuii subsp. neuii	97/90
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Actinomyces radingae	APL1
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Actinomyces turicensis	APL10
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Actinomyces hyovaginalis	BM 1192/5
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Gleimia	Actinomyces europaeus	DMMZ 747
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Gleimia	Actinomyces europaeus	DMMZ 1113
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Gleimia	Actinomyces europaeus	DMMZ 1284
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Boudabousia	Actinomyces marimammalium	M1749/98/1
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces catuli	M1192/98/1
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces radicidentis	AO 96-06841
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces bowdenii	M1327/95/1
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Gleimia	Actinomyces coleocanis	M343/98/2
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Actinomyces funkei	Hudd B9912678
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Pauljensenia	Actinomyces hongkongensis	HKU8
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Actinomyces cardiffensis	R10394
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces dentalis	R18165
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces johnsonii	genospecies WVA 963, VPI D135D-26
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces oris	W1053, WVU 474
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces massiliensis	4401292, CSUR P18
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces timonensis	7400942
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Gleimia	Actinomyces hominis	1094
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Actinomyces naturae	BL-79
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces weissii	2298, 2298/06
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Arcanobacterium	Corynebacterium haemolyticum	11018
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Arcanobacterium	Corynebacterium haemolyticum	1656, ATCC BAA-1784
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium phocae	M1590/94/3
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium phocae	M2464/93/8
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium phocae	M2546/94/1
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	M430/94/2
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium hippocoleae	M401624/00/2
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium canis	P6775
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus	Falcivibrio grandis	L23-1b
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus	Falcivibrio grandis	SV 175, SV 17J
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus	Falcivibrio vaginalis	V125
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus	Mobiluncus curtisii subsp. curtisii	BV345-16
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus	Falcivibrio vaginalis	BV376-6, Spiegel BV376-6
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Varibaculum	Varibaculum cambriensis	R12359
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Actinomyces pyogenes	3329
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Actinomyces pyogenes	84, C-100
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Actinomyces bernardiae	GF 746, LCDC 88-0601
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Actinomyces bernardiae	GF 750
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Actinomyces bernardiae	GF 774
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Arcanobacterium bialowiezense	1W3/01
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Arcanobacterium bonasi	2W106/04
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Arcanobacterium abortisuis	Murakami
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Streptococcus defectivus	SC10
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Gaffkya homari	
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Gaffkya homari	M1
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Pediococcus urinaeequi	PUE
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus urinae	E2
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus sanguinicola	SS-1647
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus christensenii	UW06
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus suis	1821/02
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus sp.	KO_PS10
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Dolosicoccus	Dolosicoccus paucivorans	2991-95, CCUG 39307
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Eremococcus	Eremococcus coleocola	M1832/95/2
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Globicatella	Globicatella sanguis	1152-78
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Globicatella	Globicatella sanguis	1434-83
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Globicatella	Globicatella sanguis	1713-79
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Globicatella	Globicatella sulfidifaciens	GEM 604
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Ignavigranum	Ignavigranum ruoffiae	1607-97
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia	Facklamia sp.	KO_PS21
Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila subsp. anaerogenes	256
Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila subsp. hydrophila	LRA 3300776
Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila subsp. hydrophila	WS41026
Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila subsp. hydrophila	WS41125
Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas media	WS41003
Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas media	WS41140
Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas schubertii	CDC 2446-81
Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas ichthiosmia	115/II
Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas trota	AH2
Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas trota	A8
Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas trota	NMRI-208
Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas salmonicida subsp. salmonicida	3007-60
Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas allosaccharophila	289
